file_name,energy_mean,energy_std,magnitude_mean,magnitude_std,zcr_mean,zcr_std,rms_mean,peak_factor_mean,spectral_centroid_mean,spectral_bandwidth_mean,frame_count,noise_type
han_1_xiugai_jiazao1.wav,2.737597598479714,6.038512460408453,0.03786020355339826,0.041062893612420256,0.3696195652173913,0.12672072960985684,0.055806015654989424,4.335715628581122,84.00111435237284,54.329486653660496,46,noise1
han_2_xiugai_jiazao1.wav,2.287493058017562,4.35628832607163,0.038766600871044964,0.0335341228440163,0.311530612244898,0.1488997199927215,0.05644686729947159,3.836311452158936,79.49137275169319,57.48467756346336,49,noise1
han_3_xiugai_jiazao1.wav,1.9497047402819487,5.016946343607465,0.030226100673602856,0.036113535516340216,0.4124626865671642,0.1255060595978036,0.04442230868293867,4.244669930681355,88.85293500321754,56.458361240899634,67,noise1
han_4_xiugai_jiazao1.wav,2.832758894884319,2.836038001770428,0.04907141424840473,0.031368022385618054,0.24980769230769234,0.1574601950263986,0.07095969451483221,3.9596215432883857,69.44808067087885,55.88229658652905,52,noise1
han_5_xiugai_jiazao1.wav,3.3131420724912775,3.8265837181025915,0.05085470539561647,0.03600267443357483,0.2536057692307692,0.14557777251809895,0.07414963377522567,3.9152201162771685,70.74228501954066,55.450933750950114,52,noise1
hao_1_xiugai_jiazao1.wav,6.350539210673171,10.030804482946222,0.0639909723170971,0.06072855743483869,0.30034883720930233,0.16781736802332417,0.09175546129318694,3.8684472798045526,74.60742962936938,53.63504748281076,43,noise1
hao_2_xiugai_jiazao1.wav,2.7218358814385755,6.001443563220169,0.03890802188809957,0.043392826933641264,0.3873571428571429,0.16298931040446318,0.055550718441434825,4.010860826680887,86.04497798374183,55.71334283888765,70,noise1
hao_3_xiugai_jiazao1.wav,4.2193359726593895,5.693796999754461,0.055473788646077306,0.04602015375003795,0.3116860465116279,0.170484706510987,0.0794323645815279,4.020803423074123,76.77526666066866,54.545585454866824,43,noise1
hao_4_xiugai_jiazao1.wav,5.591027401447899,8.62029369474778,0.06237106580676158,0.05613275519942161,0.2930232558139535,0.16743148385159975,0.08884426832467168,3.9054509313257366,72.9060395520314,53.95732793700279,43,noise1
hao_5_xiugai_jiazao1.wav,5.073782328652313,7.025452571233622,0.06047213890303023,0.051121488445533686,0.2965760869565217,0.15921543264829494,0.08620450239485339,3.8472585412711755,75.11611263544242,54.24645573948265,46,noise1
qi_1_xiugai_jiazao1.wav,2.2736306156167805,2.4157432147978137,0.04528403666229937,0.026253955614877308,0.42969827586206893,0.16872179048135497,0.06528804676108117,4.088203321224638,96.86450989786019,51.11742909218523,58,noise1
qi_2_xiugai_jiazao1.wav,3.709763317025363,2.718299311001147,0.06157406158733927,0.031035528421190114,0.3430909090909091,0.22629825634866535,0.08647038706066044,3.7667103404670708,87.15967287331499,52.853719023496105,55,noise1
qi_3_xiugai_jiazao1.wav,3.555244133475839,3.750267448855732,0.054021220434720366,0.03998493757905225,0.39764705882352935,0.20715096546081913,0.07607736383223274,3.925061532358382,92.03933831869232,53.2555193207419,85,noise1
qi_4_xiugai_jiazao1.wav,3.870499110781226,2.6386187438091806,0.06310194485249981,0.030240079118844437,0.34467213114754097,0.24195687675065905,0.08901254347642626,3.7934870161677736,87.46064956404274,52.631104616956414,61,noise1
qi_5_xiugai_jiazao1.wav,4.412751327596971,3.4540320160500726,0.06632567959866809,0.03543850588647046,0.3383620689655172,0.2300930058038647,0.09317292352548504,3.652212882238662,87.41409982916812,52.16137471690267,58,noise1
wang_1_xiugai_jiazao1.wav,0.21035075503814749,0.06355889354251582,0.015543187289564251,0.002271063125236551,0.42857758620689645,0.0665273343954183,0.022704199233422713,4.204206754756194,93.20101967443301,59.43208735969157,58,noise1
wang_2_xiugai_jiazao1.wav,0.2920793964505344,0.15024478673045646,0.018092498889178056,0.004501548425778887,0.39104651162790693,0.1011593156313053,0.02624566598151116,4.033437005420758,90.60975586421421,59.325364869992754,43,noise1
wang_3_xiugai_jiazao1.wav,2.2215255889467,3.4630301299729673,0.03875356113859709,0.03591046070519971,0.34255813953488373,0.15516541096304087,0.05516483559687612,3.969044495436366,82.30311292104301,56.68155298987449,43,noise1
wang_4_xiugai_jiazao1.wav,0.8692869292364901,1.4292979202730574,0.025412229346784745,0.021153771018208384,0.40142857142857147,0.1498788626504343,0.036284309589627396,4.0018376651102265,89.94539841793636,57.09267275894107,70,noise1
wang_5_xiugai_jiazao1.wav,0.2298053096241811,0.08199182558889513,0.016164241356112333,0.002663258777347266,0.4364130434782609,0.0697134121232613,0.023643700221381417,4.160419180189459,92.6352329825105,59.4768460790361,46,noise1
wei_1_xiugai_jiazao1.wav,7.020353539437155,8.388371487839784,0.07785166803416374,0.053982315715724885,0.20445454545454547,0.14957947941197355,0.11007620997830134,3.8691533659689274,62.260161284279405,53.71276754157099,55,noise1
wei_2_xiugai_jiazao1.wav,1.2031414435947836,1.788612028478982,0.0283134459414344,0.020965589610570667,0.4054642857142857,0.10529999055177584,0.04333347096311412,4.368612568422454,89.11678806186386,54.07061365545843,70,noise1
wei_3_xiugai_jiazao1.wav,5.5295683072628625,4.889516217680507,0.07161029165464441,0.042254299432932,0.21021739130434786,0.15185879640431968,0.10138252983947357,4.270007002471828,68.07126161437891,53.30424996398322,46,noise1
wei_4_xiugai_jiazao1.wav,5.170520875407925,5.664221001991393,0.06707197304408288,0.04393237966329656,0.22422727272727272,0.1676758728830938,0.09584187056403616,4.241088498173438,66.63285183606004,54.35527766071138,55,noise1
wei_5_xiugai_jiazao1.wav,1.551954599974394,2.1495340900253943,0.032643266072758324,0.02421329398003975,0.38417910447761194,0.12126539605260461,0.049518112853364236,4.533695302762493,86.51997676607004,53.46018509744063,67,noise1
xiang_1_xiugai_jiazao1.wav,4.8009929177273785,8.020959941771485,0.05452955142959065,0.054710095470571006,0.3700316455696202,0.19166677871203727,0.07809915228676906,3.912451280592365,83.59178244454968,53.58104912491406,79,noise1
xiang_2_xiugai_jiazao1.wav,4.972905356873015,5.946298794076435,0.0641725232036897,0.04383082882069411,0.3250909090909091,0.2003133702002733,0.09243773562009493,3.850306594213944,78.86054923822607,51.902824023559496,55,noise1
xiang_3_xiugai_jiazao1.wav,2.3622728307050833,4.869341487828459,0.03760603607481766,0.038865111886023394,0.4143632075471698,0.16600468186479678,0.05384209246887904,3.956581264070291,90.57886135290298,55.00650267920639,106,noise1
