file_name,energy_mean,energy_std,magnitude_mean,magnitude_std,zcr_mean,zcr_std,rms_mean,peak_factor_mean,spectral_centroid_mean,spectral_bandwidth_mean,frame_count
audio_noise_wei_2_xiugai_jiazao_vad_processed.wav,1.2153730160701801,1.812459132660358,0.029080167087990334,0.020675287610037438,0.40592857142857136,0.10158843036327253,0.043546431502507914,3.7018187632578092,89.6187049588123,54.23529028707604,70
audio_noise_wei_3_xiugai_jiazao_vad_processed.wav,5.545750111850191,4.935028128183713,0.07164372443429513,0.042092176780944256,0.21646739130434786,0.15445343332897377,0.10132844679769644,3.8425862849324313,68.48267614638465,53.24944628635526,46
audio_noise_wei_4_xiugai_jiazao_vad_processed.wav,5.178655296215884,5.708296289597958,0.06721525328653943,0.04372847731559596,0.22754545454545452,0.16391481359444754,0.09578138060289229,3.929646123332319,66.37487245516469,54.69639136079561,55
audio_noise_wei_5_xiugai_jiazao_vad_processed.wav,1.5540447964989266,2.152593477430905,0.033251793063677794,0.023825781866554343,0.38828358208955227,0.11493120018179717,0.04954647439871157,3.798522226943631,86.8789600173461,53.780588585908916,67
audio_noise_xiang_1_xiugai_jiazao_vad_processed.wav,4.819882793200298,8.061523218183856,0.055251930428965326,0.0544353254574864,0.3750949367088608,0.19721215325654906,0.07837973580372158,3.201035686642806,83.4285669041224,53.321218280839815,79
audio_noise_xiang_2_xiugai_jiazao_vad_processed.wav,4.9779578276023475,5.940913201867114,0.06451473695348559,0.04337838438961567,0.32627272727272727,0.19890831186485303,0.0925611314828891,3.4908541808891203,79.01080618068615,52.24785036900683,55
audio_noise_xiang_3_xiugai_jiazao_vad_processed.wav,2.357879573857302,4.880116968520942,0.038227392431958884,0.03837354484531375,0.42266509433962257,0.1676200882062592,0.05375577287801291,3.112064435726033,90.93366614966641,55.20910091081157,106
audio_noise_xiang_4_xiugai_jiazao_vad_processed.wav,3.9949909665023804,5.873205758353581,0.053990122423810585,0.04409929159823401,0.36699218750000007,0.20063238873052086,0.07729922346757993,3.432390592269808,84.35213642578752,53.1949375997191,64
audio_noise_xiang_5_xiugai_jiazao_vad_processed.wav,4.5236650665059175,6.953744061076561,0.05834420006942642,0.04766141557842912,0.3279591836734694,0.21825880623079746,0.08235274723877405,3.357572643571956,80.90726555579242,53.6582600974996,49
audio_noise_xiao_1_xiugai_jiazao_vad_processed.wav,5.683986994665758,4.8561008704414546,0.07222597701948523,0.0401882755610863,0.35812500000000014,0.19679332860311172,0.10378309847602539,3.5951861835417698,83.7261592126534,48.81132738027231,52
